"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Como um visitante do Blog do Agi
  Quero pesquisar artigos utilizando a lupa no canto superior direito
  Para encontrar conteúdos sobre empréstimos e educação financeira","7444","Espaço antes e depois do termo retorna resultados","","2026-06-01","passed","2026-06-01","","","",""
"Como um visitante do Blog do Agi
  Quero pesquisar artigos utilizando a lupa no canto superior direito
  Para encontrar conteúdos sobre empréstimos e educação financeira","7298","Pesquisa com 2 caracteres é processada","","2026-06-01","passed","2026-06-01","","","",""
"Como um visitante do Blog do Agi
  Quero navegar pelas categorias de artigos disponíveis no menu
  Para encontrar conteúdos específicos sobre produtos financeiros","3678","Acessar submenu Conta Corrente exibe artigos","","2026-06-01","passed","2026-06-01","","","",""
"Como um visitante do Blog do Agi
  Quero navegar pelas categorias de artigos disponíveis no menu
  Para encontrar conteúdos específicos sobre produtos financeiros","2255","Acessar URL de categoria inexistente não quebra o site","","2026-06-01","passed","2026-06-01","","","",""
"Como um visitante do Blog do Agi
  Quero pesquisar artigos utilizando a lupa no canto superior direito
  Para encontrar conteúdos sobre empréstimos e educação financeira","6508","Pesquisa com termos financeiros válidos","","2026-06-01","passed","2026-06-01","","","",""
"Como um visitante do Blog do Agi
  Quero navegar pelas categorias de artigos disponíveis no menu
  Para encontrar conteúdos específicos sobre produtos financeiros","2336","Todas as categorias principais têm artigos","","2026-06-01","passed","2026-06-01","","","",""
"Como um visitante do Blog do Agi
  Quero navegar pelas categorias de artigos disponíveis no menu
  Para encontrar conteúdos específicos sobre produtos financeiros","1636","Artigos listados possuem links válidos de leitura","","2026-06-01","passed","2026-06-01","","","",""
"Como um visitante do Blog do Agi
  Quero pesquisar artigos utilizando a lupa no canto superior direito
  Para encontrar conteúdos sobre empréstimos e educação financeira","9453","Pesquisa por termo válido retorna resultados","","2026-06-01","passed","2026-06-01","","","",""
"Como um visitante do Blog do Agi
  Quero pesquisar artigos utilizando a lupa no canto superior direito
  Para encontrar conteúdos sobre empréstimos e educação financeira","6534","Pesquisa com caracteres especiais não quebra a aplicação","","2026-06-01","passed","2026-06-01","","","",""
"Como um visitante do Blog do Agi
  Quero pesquisar artigos utilizando a lupa no canto superior direito
  Para encontrar conteúdos sobre empréstimos e educação financeira","6713","Pesquisa com sequência aleatória não retorna artigos","","2026-06-01","passed","2026-06-01","","","",""
"Como um visitante do Blog do Agi
  Quero pesquisar artigos utilizando a lupa no canto superior direito
  Para encontrar conteúdos sobre empréstimos e educação financeira","6575","Pesquisa com maiúsculas e minúsculas misturadas funciona","","2026-06-01","passed","2026-06-01","","","",""
"Como um visitante do Blog do Agi
  Quero pesquisar artigos utilizando a lupa no canto superior direito
  Para encontrar conteúdos sobre empréstimos e educação financeira","6624","Pesquisa com número aleatório não relacionado","","2026-06-01","passed","2026-06-01","","","",""
"Como um visitante do Blog do Agi
  Quero navegar pelas categorias de artigos disponíveis no menu
  Para encontrar conteúdos específicos sobre produtos financeiros","12206","Navegar até a segunda página de uma categoria lista artigos","","2026-06-01","passed","2026-06-01","","","",""
"Como um visitante do Blog do Agi
  Quero pesquisar artigos utilizando a lupa no canto superior direito
  Para encontrar conteúdos sobre empréstimos e educação financeira","6547","Pesquisa com hífen é tratada sem erro","","2026-06-01","passed","2026-06-01","","","",""
"Como um visitante do Blog do Agi
  Quero navegar pelas categorias de artigos disponíveis no menu
  Para encontrar conteúdos específicos sobre produtos financeiros","8734","Pesquisa a partir de página de categoria funciona","","2026-06-01","passed","2026-06-01","","","",""
"Como um visitante do Blog do Agi
  Quero pesquisar artigos utilizando a lupa no canto superior direito
  Para encontrar conteúdos sobre empréstimos e educação financeira","7060","Submeter pesquisa com Enter redireciona para resultados","","2026-06-01","passed","2026-06-01","","","",""
"Como um visitante do Blog do Agi
  Quero navegar pelas categorias de artigos disponíveis no menu
  Para encontrar conteúdos específicos sobre produtos financeiros","12929","Paginação da categoria funciona corretamente","","2026-06-01","passed","2026-06-01","","","",""
"Como um visitante do Blog do Agi
  Quero navegar pelas categorias de artigos disponíveis no menu
  Para encontrar conteúdos específicos sobre produtos financeiros","2471","Acessar artigo com URL inválida exibe tratamento de erro","","2026-06-01","passed","2026-06-01","","","",""
"Como um visitante do Blog do Agi
  Quero pesquisar artigos utilizando a lupa no canto superior direito
  Para encontrar conteúdos sobre empréstimos e educação financeira","7137","Pesquisa com apenas espaços em branco é tratada","","2026-06-01","passed","2026-06-01","","","",""
